001,"ExxonMobil Exploration & Production Norway AS",2004-10-01
"001 B","Det norske oljeselskap ASA",2009-12-22
"001 P","Esso Exploration and Production Norway A/S",1994-01-19
002,"Esso Exploration and Production Norway A/S",1965-09-01
003,"Esso Exploration and Production Norway A/S",1965-09-01
004,"Amoco Norway Oil Company",1965-09-01
005,"Union Norge A/S",1977-01-20
006,"Total E&P Norge AS",2003-05-06
"006 B","BP Norge AS",2002-03-12
"006 C","Lundin Norway AS",2004-01-01
"006 D","Lundin Norway AS",2008-02-29
007,"Elf Petroleum Norge AS",1967-08-31
008,"Amerada Hess Norge AS",2001-05-09
009,"Elf Petroleum Norge AS",1967-08-31
010,"A/S Norske Shell",1965-09-01
011,"A/S Norske Shell",1965-09-01
012,"A/S Norske Shell",1965-09-01
013,"Saga Petroleum ASA",1977-07-31
014,"Saga Petroleum ASA",1977-07-31
015,"Saga Petroleum ASA",1977-07-31
016,"Phillips Petroleum Company Norway",1965-09-01
017,"Phillips Petroleum Company Norway",1965-09-01
018,"ConocoPhillips Skandinavia AS",2003-05-06
"018 B","ConocoPhillips Skandinavia AS",2003-05-06
"018 C","Maersk Oil Norway AS",2011-10-28
"018 DS","Maersk Oil Norway AS",2011-11-29
019,"BP Norge AS",2002-03-12
"019 B","Talisman Energy Norge AS",2003-07-04
"019 C","Talisman Energy Norge AS",2003-07-04
"019 D","Talisman Energy Norge AS",2009-01-16
020,"BP Petroleum Dev. of Norway AS",1978-01-01
021,"Syracuse Oils Norge A/S",1965-09-01
022,"Norwegian Gulf Exploration Company AS",1977-09-30
023,"Elf Norge A/S",1969-05-23
024,"Total E&P Norge AS",2003-05-06
025,"Statoil Petroleum AS",2009-11-02
026,"Total E&P Norge AS",2003-05-06
027,"ExxonMobil Exploration & Production Norway AS",2004-10-01
"027 B","ExxonMobil Exploration & Production Norway AS",2004-10-01
"027 C","ExxonMobil Exploration & Production Norway AS",2004-10-01
"027 D","Det norske oljeselskap ASA",2009-12-18
"027 P","Esso Exploration and Production Norway A/S",1994-01-19
028,"ExxonMobil Exploration & Production Norway AS",2004-10-01
"028 B","Det norske oljeselskap ASA",2009-12-22
"028 C","Statoil Petroleum AS",2009-11-02
"028 P","Esso Exploration and Production Norway A/S",1994-01-19
"028 S","ExxonMobil Exploration & Production Norway AS",2009-11-13
029,"ExxonMobil Exploration & Production Norway AS",2004-10-01
"029 B","Statoil Petroleum AS",2010-02-09
"029 C","Total E&P Norge AS",2012-12-03
030,"Esso Exploration and Production Norway A/S",1969-05-23
031,"Phillips Petroleum Company Norway",1969-05-23
032,"Amoco Norway Oil Company",1969-05-30
033,"BP Norge AS",2002-03-12
"033 B","BP Norge AS",2002-03-12
034,"Statoil Petroleum AS",2009-11-02
035,"Statoil Petroleum AS",2009-11-02
"035 B","Centrica Resources (Norge) AS",2012-04-30
"035 C","Statoil Petroleum AS",2012-02-03
036,"Centrica Resources (Norge) AS",2012-04-30
"036 BS","Statoil Petroleum AS",2009-11-02
"036 C","Marathon Oil Norge AS",2011-07-04
"036 D","Marathon Oil Norge AS",2012-10-01
037,"Statoil Petroleum AS",2009-11-02
"037 B","Statoil Petroleum AS",2009-11-02
"037 C","Wintershall Norge AS",2012-03-24
"037 D","Wintershall Norge AS",2012-03-24
"037 E","Statoil Petroleum AS",2009-11-02
"037 F","Statoil Petroleum AS",2013-02-08
038,"Talisman Energy Norge AS",2005-04-29
"038 B","Talisman Energy Norge AS",2005-04-29
"038 C","Talisman Energy Norge AS",2006-06-15
"038 D","Talisman Energy Norge AS",2009-05-15
039,"Norske Conoco A/S",1975-04-01
040,"Total E&P Norge AS",2003-05-06
041,"Saga Petroleum ASA",1975-06-01
042,"Amoco Norway AS",1975-04-01
043,"Total E&P Norge AS",2003-05-06
"043 BS","Total E&P Norge AS",2006-01-06
"043 CS","Total E&P Norge AS",2010-05-12
"043 DS","Total E&P Norge AS",2010-05-12
044,"ConocoPhillips Skandinavia AS",2003-05-06
045,"Den norske stats oljeselskap a.s",1976-12-03
046,"Statoil Petroleum AS",2009-11-02
"046 B","Statoil Petroleum AS",2009-11-02
"046 BS","Statoil Petroleum AS",2009-11-02
"046 C","Statoil Petroleum AS",2011-12-21
"046 D","Statoil Petroleum AS",2012-02-03
047,"Norsk Hydro Produksjon AS",1977-01-07
048,"Statoil Petroleum AS",2009-11-02
"048 B","Statoil Petroleum AS",2009-11-02
"048 C","Statoil Petroleum AS",2009-11-02
"048 D","Statoil Petroleum AS",2009-11-02
"048 E","Statoil Petroleum AS",2010-12-09
049,"Norsk Agip  AS",1977-12-23
050,"Statoil Petroleum AS",2009-11-02
"050 B","Statoil Petroleum AS",2009-11-02
"050 C","Statoil Petroleum AS",2009-11-02
"050 D","Statoil Petroleum AS",2009-11-02
"050 DS","Statoil Petroleum AS",2009-11-02
"050 ES","Statoil Petroleum AS",2012-04-11
"050 FS","Statoil Petroleum AS",2012-04-11
"050 GS","Statoil Petroleum AS",2012-04-11
"050 HS","Statoil Petroleum AS",2012-04-11
051,"Statoil Petroleum AS",2009-11-02
052,"Statoil Petroleum AS",2009-11-02
