"A/S Norske Shell","NORWEGIAN SEA","ORMEN LANGE"
"BP Norge AS","NORTH SEA","TAMBAR ØST"
"BP Norge AS","NORWEGIAN SEA","TAMBAR ØST"
"ConocoPhillips Skandinavia AS","NORTH SEA",ALBUSKJELL
"ConocoPhillips Skandinavia AS","NORTH SEA","TOMMELITEN GAMMA"
"ConocoPhillips Skandinavia AS","NORTH SEA","VEST EKOFISK"
"ConocoPhillips Skandinavia AS","NORTH SEA",EDDA
"ConocoPhillips Skandinavia AS","NORTH SEA",COD
"ConocoPhillips Skandinavia AS","NORTH SEA",HULDRA
"Talisman Energy Norge AS","NORTH SEA",HULDRA
"Talisman Energy Norge AS","NORTH SEA",REV
"Talisman Energy Norge AS","NORTH SEA","TAMBAR ØST"
"ExxonMobil Exploration & Production Norway AS","NORTH SEA","SLEIPNER VEST"
"ExxonMobil Exploration & Production Norway AS","NORTH SEA",GUNGNE
"ExxonMobil Exploration & Production Norway AS","NORTH SEA","SLEIPNER ØST"
"ExxonMobil Exploration & Production Norway AS","NORTH SEA",SIGYN
"ExxonMobil Exploration & Production Norway AS","NORTH SEA","ORMEN LANGE"
"DONG E&P Norge AS","NORTH SEA","ORMEN LANGE"
"DONG E&P Norge AS","NORTH SEA","TAMBAR ØST"
"GDF SUEZ E&P Norge AS","NORTH SEA",SNØHVIT
"Statoil Petroleum AS","NORWEGIAN SEA",ALBUSKJELL
"Statoil Petroleum AS","NORTH SEA",ALBUSKJELL
"Statoil Petroleum AS","NORWEGIAN SEA","TOMMELITEN GAMMA"
"Statoil Petroleum AS","NORTH SEA","TOMMELITEN GAMMA"
"Statoil Petroleum AS","NORWEGIAN SEA","SLEIPNER VEST"
"Statoil Petroleum AS","NORTH SEA","SLEIPNER VEST"
"Statoil Petroleum AS","NORWEGIAN SEA",GUNGNE
"Statoil Petroleum AS","NORTH SEA",GUNGNE
"Statoil Petroleum AS","NORWEGIAN SEA","SLEIPNER ØST"
"Statoil Petroleum AS","NORTH SEA","SLEIPNER ØST"
"Statoil Petroleum AS","NORWEGIAN SEA","VEST EKOFISK"
"Statoil Petroleum AS","NORTH SEA","VEST EKOFISK"
"Statoil Petroleum AS","NORWEGIAN SEA",EDDA
"Statoil Petroleum AS","NORTH SEA",EDDA
"Statoil Petroleum AS","NORWEGIAN SEA",FRIGG
"Statoil Petroleum AS","NORTH SEA",FRIGG
"Statoil Petroleum AS","NORWEGIAN SEA",COD
"Statoil Petroleum AS","NORTH SEA",COD
"Statoil Petroleum AS","NORWEGIAN SEA",HULDRA
"Statoil Petroleum AS","NORTH SEA",HULDRA
"Statoil Petroleum AS","NORWEGIAN SEA",TUNE
"Statoil Petroleum AS","NORTH SEA",TUNE
"Statoil Petroleum AS","NORWEGIAN SEA",GLITNE
"Statoil Petroleum AS","NORTH SEA",GLITNE
"Statoil Petroleum AS","NORWEGIAN SEA",SIGYN
"Statoil Petroleum AS","NORTH SEA",SIGYN
"Statoil Petroleum AS","NORWEGIAN SEA",SNØHVIT
"Statoil Petroleum AS","NORTH SEA",SNØHVIT
"Statoil Petroleum AS","NORWEGIAN SEA","ORMEN LANGE"
"Statoil Petroleum AS","NORTH SEA","ORMEN LANGE"
"Statoil Petroleum AS","NORWEGIAN SEA",YTTERGRYTA
"Statoil Petroleum AS","NORTH SEA",YTTERGRYTA
"Det norske oljeselskap ASA","NORTH SEA","ØST FRIGG"
"Det norske oljeselskap ASA","NORTH SEA",LILLE-FRIGG
"Det norske oljeselskap ASA","NORTH SEA",FRØY
"Det norske oljeselskap ASA","NORTH SEA",GLITNE
